freestyle,50m,Sissmann,Jade,0:29.42,Ceret,29/07/2018
freestyle,100m,Sissmann,Jade,1:03.99,Neuville-de-Poitou,26/08/2018
freestyle,200m,Sissmann,Jade,2:26.18,Montreal,18/08/2018
freestyle,400m,Sissmann,Jade,5:03.95,Montreal,18/08/2018
freestyle,1500m,Sissmann,Jade,21:43.72,Ceret,29/07/2018
backstroke,50m,Badré,Erika,0:34.02,Montreal,21/08/2010
backstroke,100m,Badré,Erika,1:11.91,Montreal,21/08/2010
backstroke,200m,Municoy,Carla,2:39.79,Lodève,22/08/2015
breaststoke,50m,Hewitt,Olivia,0:35.71,Céret,29/07/2018
breaststoke,100m,Hewitt,Olivia,1:21.09,Montreal,18/08/2018
breaststoke,200m,Hewitt,Olivia,2:59.56,Montreal,18/08/2018
butterfly,50m,Municoy,Léa,0:32.66,Clermont,20/08/2011
butterfly,100m,Municoy,Léa,1:13.07,Barbezieux,27/08/2011
medley,100m,Sissmann,Jade,1:15.49,Montreal,18/08/2018
medley,200m,Sissmann,Jade,2:44.12,Montreal,18/08/2018
medley,400m,Renoulleau,Camille,6:45.08,Bédarieux,06/07/2014
